entry_time,exit_time,dir,entry,exit,reason,pips_net,R,sl_pips,meta_day,meta_atr
2023-02-22 00:00:00+00:00,2023-02-22 13:00:00+00:00,1,134.989,134.53900000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-02-21,153.2
2023-02-23 00:00:00+00:00,2023-02-24 00:11:00+00:00,1,134.932,134.482,SL,-45.99999999999886,-1.062222222222197,45.0,2023-02-22,150.5
2023-02-24 00:00:00+00:00,2023-02-24 00:53:00+00:00,1,134.623,134.173,SL,-45.99999999999886,-1.062222222222197,45.0,2023-02-23,135.8
2023-02-27 00:00:00+00:00,2023-02-27 14:55:00+00:00,1,136.423,135.973,SL,-45.99999999999886,-1.062222222222197,45.0,2023-02-24,140.8
2023-03-02 00:00:00+00:00,2023-03-02 13:58:00+00:00,1,136.19,137.09,TP,89.00000000000057,1.9377777777777905,45.0,2023-03-01,127.8
2023-03-03 00:00:00+00:00,2023-03-03 08:03:00+00:00,1,136.716,136.26600000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-03-02,120.4
2023-03-09 00:00:00+00:00,2023-03-09 04:57:00+00:00,1,137.223,136.77300000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-03-08,110.8
2023-03-22 00:00:00+00:00,2023-03-22 10:30:00+00:00,-1,132.401,132.851,SL,-45.99999999999886,-1.062222222222197,45.0,2023-03-21,179.0
2023-03-23 00:00:00+00:00,2023-03-23 12:42:00+00:00,-1,131.185,131.635,SL,-45.99999999999886,-1.062222222222197,45.0,2023-03-22,185.8
2023-03-24 00:00:00+00:00,2023-03-24 08:21:00+00:00,-1,130.867,129.96699999999998,TP,89.00000000000057,1.9377777777777905,45.0,2023-03-23,187.7
2023-05-01 01:00:00+00:00,2023-05-01 16:00:00+00:00,1,136.404,137.304,TP,89.00000000000057,1.9377777777777905,45.0,2023-04-28,119.8
2023-05-23 00:00:00+00:00,2023-05-24 21:33:00+00:00,1,138.543,139.443,TP,89.00000000000057,1.9377777777777905,45.0,2023-05-22,117.8
2023-05-24 01:00:00+00:00,2023-05-25 02:09:00+00:00,1,138.611,139.511,TP,89.00000000000057,1.9377777777777905,45.0,2023-05-23,108.7
2023-05-25 01:00:00+00:00,2023-05-25 20:36:00+00:00,1,139.294,140.19400000000002,TP,89.00000000000057,1.9377777777777905,45.0,2023-05-24,107.8
2023-05-26 00:00:00+00:00,2023-05-28 23:02:00+00:00,1,139.925,140.82500000000002,TP,89.00000000000057,1.9377777777777905,45.0,2023-05-25,109.4
2023-06-23 01:00:00+00:00,2023-06-27 10:40:00+00:00,1,143.028,143.928,TP,89.00000000000057,1.9377777777777905,45.0,2023-06-22,114.1
2023-06-29 00:00:00+00:00,2023-07-06 05:37:00+00:00,1,144.401,143.95100000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-06-28,108.7
2023-07-04 01:00:00+00:00,2023-07-05 15:00:00+00:00,1,144.597,144.14700000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-07-03,107.2
2023-07-18 01:00:00+00:00,2023-07-18 14:40:00+00:00,-1,138.719,137.819,TP,89.00000000000057,1.9377777777777905,45.0,2023-07-17,120.4
2023-08-17 00:00:00+00:00,2023-08-17 12:36:00+00:00,1,146.275,145.82500000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-08-16,132.9
2023-08-18 00:00:00+00:00,2023-08-18 07:11:00+00:00,1,145.71,145.26000000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-08-17,118.0
2023-10-26 00:00:00+00:00,2023-10-27 13:54:00+00:00,1,150.181,149.73100000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2023-10-25,66.5
2023-12-07 00:00:00+00:00,2023-12-07 06:31:00+00:00,-1,147.179,146.279,TP,89.00000000000057,1.9377777777777905,45.0,2023-12-06,127.5
2023-12-08 00:00:00+00:00,2023-12-08 00:23:00+00:00,-1,144.237,143.337,TP,89.00000000000057,1.9377777777777905,45.0,2023-12-07,156.9
2023-12-19 00:00:00+00:00,2023-12-19 02:49:00+00:00,-1,142.686,143.136,SL,-45.99999999999886,-1.062222222222197,45.0,2023-12-18,188.4
2024-01-17 00:00:00+00:00,2024-01-17 14:44:00+00:00,1,147.242,148.142,TP,89.00000000000057,1.9377777777777905,45.0,2024-01-16,149.6
2024-01-23 00:00:00+00:00,2024-01-23 06:40:00+00:00,1,148.144,147.69400000000002,SL,-45.99999999999886,-1.062222222222197,45.0,2024-01-22,138.1
2024-01-24 00:00:00+00:00,2024-01-24 03:50:00+00:00,1,148.235,147.78500000000003,SL,-45.99999999999886,-1.062222222222197,45.0,2024-01-23,137.0
