entry_time,exit_time,dir,entry,exit,reason,pips_net,R,sl_pips,meta_day,meta_event,meta_move
2023-01-06 13:45:00+00:00,2023-01-06 14:08:00+00:00,-1,133.544,133.66400000000002,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-01-06,nfp,-89.3
2023-01-12 13:45:00+00:00,2023-01-12 14:19:00+00:00,-1,130.247,130.36700000000002,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-01-12,cpi,-11.6
2023-02-01 19:15:00+00:00,2023-02-01 19:38:00+00:00,1,129.473,129.353,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-02-01,fomc,11.2
2023-02-03 13:45:00+00:00,2023-02-03 17:44:00+00:00,1,129.949,130.963,TIME,100.39999999999816,8.326666666666513,12.0,2023-02-03,nfp,137.8
2023-02-14 13:45:00+00:00,2023-02-14 13:46:00+00:00,1,132.329,132.209,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-02-14,cpi,23.3
2023-11-03 12:45:00+00:00,2023-11-03 14:07:00+00:00,-1,149.426,149.546,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-11-03,nfp,-71.6
2023-11-14 13:45:00+00:00,2023-11-14 13:51:00+00:00,-1,150.926,151.046,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-11-14,cpi,-72.9
2023-12-08 13:45:00+00:00,2023-12-08 13:45:00+00:00,-1,144.148,144.268,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-12-08,nfp,-20.3
2023-12-12 13:45:00+00:00,2023-12-12 14:04:00+00:00,1,145.562,145.442,SL,-13.000000000000455,-1.1233333333333713,12.0,2023-12-12,cpi,41.6
2023-12-13 19:15:00+00:00,2023-12-13 23:14:00+00:00,-1,144.008,142.505,TIME,149.30000000000143,12.401666666666786,12.0,2023-12-13,fomc,-112.0
2024-01-05 13:45:00+00:00,2024-01-05 13:52:00+00:00,1,145.573,145.453,SL,-13.000000000000455,-1.1233333333333713,12.0,2024-01-05,nfp,44.0
2024-01-11 13:45:00+00:00,2024-01-11 13:45:00+00:00,1,145.909,145.789,SL,-13.000000000000455,-1.1233333333333713,12.0,2024-01-11,cpi,53.9
2024-01-31 19:15:00+00:00,2024-01-31 19:31:00+00:00,1,146.609,146.489,SL,-13.000000000000455,-1.1233333333333713,12.0,2024-01-31,fomc,19.6
2024-02-02 13:45:00+00:00,2024-02-02 17:44:00+00:00,1,147.644,148.457,TIME,80.29999999999882,6.651666666666568,12.0,2024-02-02,nfp,97.6
2024-02-13 13:45:00+00:00,2024-02-13 17:44:00+00:00,1,150.309,150.759,TIME,43.99999999999886,3.626666666666572,12.0,2024-02-13,cpi,99.8
2024-03-08 13:45:00+00:00,2024-03-08 13:49:00+00:00,-1,146.631,146.751,SL,-13.000000000000455,-1.1233333333333713,12.0,2024-03-08,nfp,-38.2
2024-03-12 12:45:00+00:00,2024-03-12 12:47:00+00:00,-1,147.169,147.28900000000002,SL,-13.000000000000455,-1.1233333333333713,12.0,2024-03-12,cpi,-32.4
