entry_time,exit_time,dir,entry,exit,reason,pips_net,R,sl_pips,meta_day,meta_atr
2023-03-13 00:00:00+00:00,2023-03-20 21:59:00+00:00,-1,134.968,131.289,TIME,350.9000000000002,4.346250000000002,80.0,2023-03-10,126.6
2023-04-03 00:00:00+00:00,2023-04-03 15:01:00+00:00,1,133.279,132.47899999999998,SL,-80.25000000000114,-1.0431250000000143,80.0,2023-03-31,166.2
2023-04-05 01:00:00+00:00,2023-04-10 01:02:00+00:00,-1,131.431,132.23100000000002,SL,-91.00000000000114,-1.1775000000000142,80.0,2023-04-04,155.2
2023-04-07 00:00:00+00:00,2023-04-14 21:59:00+00:00,1,131.84,133.748,TIME,195.7999999999987,2.4074999999999838,80.0,2023-04-06,140.8
2023-04-14 01:00:00+00:00,2023-04-14 15:00:00+00:00,-1,132.486,133.286,SL,-83.00000000000114,-1.0775000000000141,80.0,2023-04-13,124.5
2023-04-17 01:00:00+00:00,2023-04-24 20:59:00+00:00,1,133.986,134.301,TIME,36.49999999999977,0.4162499999999972,80.0,2023-04-14,127.2
2023-04-26 00:00:00+00:00,2023-04-28 05:03:00+00:00,-1,133.715,134.51500000000001,SL,-85.00000000000114,-1.1025000000000142,80.0,2023-04-25,109.0
2023-04-27 00:00:00+00:00,2023-05-04 21:59:00+00:00,1,133.573,134.267,TIME,74.39999999999884,0.8899999999999855,80.0,2023-04-26,107.3
2023-05-04 01:00:00+00:00,2023-05-10 06:27:00+00:00,-1,134.549,135.34900000000002,SL,-93.00000000000114,-1.2025000000000141,80.0,2023-05-03,129.2
2023-05-05 01:00:00+00:00,2023-05-12 20:59:00+00:00,1,134.161,135.7,TIME,158.89999999999873,1.946249999999984,80.0,2023-05-04,127.2
2023-05-15 00:00:00+00:00,2023-05-16 16:07:00+00:00,-1,135.778,136.578,SL,-85.00000000000114,-1.1025000000000142,80.0,2023-05-12,132.5
2023-05-18 00:00:00+00:00,2023-05-25 20:59:00+00:00,1,137.575,140.166,TIME,264.1000000000008,3.26125000000001,80.0,2023-05-17,133.4
2023-06-09 01:00:00+00:00,2023-06-09 09:08:00+00:00,-1,138.887,139.687,SL,-81.00000000000114,-1.0525000000000142,80.0,2023-06-08,116.3
2023-06-14 01:00:00+00:00,2023-06-14 16:18:00+00:00,1,140.147,139.34699999999998,SL,-80.25000000000114,-1.0431250000000143,80.0,2023-06-13,113.7
2023-07-10 00:00:00+00:00,2023-07-10 05:43:00+00:00,-1,142.194,142.994,SL,-81.00000000000114,-1.0525000000000142,80.0,2023-07-07,101.1
2023-07-25 01:00:00+00:00,2023-07-26 07:28:00+00:00,1,141.541,140.74099999999999,SL,-80.25000000000114,-1.0431250000000143,80.0,2023-07-24,143.6
2023-08-07 00:00:00+00:00,2023-08-08 01:00:00+00:00,-1,141.82,142.62,SL,-83.00000000000114,-1.0775000000000141,80.0,2023-08-04,160.4
2023-08-08 00:00:00+00:00,2023-08-15 21:59:00+00:00,1,142.417,145.562,TIME,319.500000000001,3.9537500000000128,80.0,2023-08-07,158.6
2023-08-31 00:00:00+00:00,2023-09-05 07:18:00+00:00,-1,146.11,146.91000000000003,SL,-91.00000000000114,-1.1775000000000142,80.0,2023-08-30,101.3
